epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,321.89,0.62771,0.94576,0.42435,0.87825,0.655,0.77653,0.71093,0.52565,0.58681,0.79678,0.70293,0.48016,1.04073,2.27257,0.89811,1.12291,0.000637437,0.000637437,0.000637437
101,324.971,0.6118,0.926,0.41922,0.87077,0.66639,0.75282,0.7112,0.52767,0.66958,0.75652,0.72108,0.48368,1.05164,2.19767,0.87726,1.11725,0.00063125,0.00063125,0.00063125
102,328.035,0.56679,0.88659,0.38523,0.85615,0.66362,0.75813,0.7208,0.55503,0.66678,0.76184,0.72129,0.47928,1.03331,2.25455,0.9371,1.117,0.000625062,0.000625062,0.000625062
103,331.116,0.59119,0.90924,0.39383,0.85587,0.71696,0.80241,0.7472,0.54746,0.74209,0.80097,0.76303,0.48564,1.04659,2.20375,0.88021,1.10961,0.000618875,0.000618875,0.000618875
104,334.208,0.57243,0.89228,0.39074,0.85716,0.71419,0.72552,0.73622,0.55337,0.75435,0.77552,0.76721,0.49698,1.03029,2.01505,0.85271,1.09995,0.000612687,0.000612687,0.000612687
105,337.383,0.55304,0.83201,0.37464,0.84376,0.64452,0.83937,0.73484,0.57412,0.75564,0.77899,0.7713,0.50236,0.98185,1.9609,0.87187,1.07703,0.0006065,0.0006065,0.0006065
106,340.457,0.57553,0.87006,0.39076,0.86081,0.77098,0.78213,0.75293,0.56372,0.77282,0.78398,0.75383,0.52206,1.00307,2.03425,0.89202,1.09078,0.000600313,0.000600313,0.000600313
107,343.505,0.56629,0.8774,0.38557,0.84771,0.8209,0.76172,0.78294,0.58739,0.8209,0.76172,0.78264,0.52364,0.99986,2.02106,0.92693,1.09702,0.000594125,0.000594125,0.000594125
108,346.609,0.57247,0.91018,0.38607,0.85978,0.68916,0.74594,0.72412,0.55078,0.69111,0.74779,0.72486,0.50502,1.02698,2.07929,0.98125,1.11925,0.000587938,0.000587938,0.000587938
109,349.697,0.59511,0.92182,0.40051,0.86222,0.70125,0.75679,0.76028,0.55848,0.70326,0.75864,0.76353,0.51681,1.04123,2.13953,0.90197,1.1436,0.00058175,0.00058175,0.00058175
110,352.875,0.55152,0.87198,0.38414,0.85875,0.84453,0.77993,0.78888,0.58138,0.84453,0.77993,0.78941,0.5452,1.05492,2.10847,0.85502,1.12735,0.000575563,0.000575563,0.000575563
111,355.957,0.54726,0.8475,0.36782,0.84475,0.86068,0.76042,0.78944,0.58356,0.86211,0.75886,0.79091,0.55734,0.97697,2.07384,0.8951,1.08814,0.000569375,0.000569375,0.000569375
112,359.018,0.54333,0.83662,0.36696,0.85489,0.83357,0.754,0.783,0.57146,0.83862,0.75749,0.78617,0.54579,0.97249,2.05693,1.00864,1.08165,0.000563187,0.000563187,0.000563187
113,362.036,0.5216,0.81546,0.36076,0.85107,0.90918,0.67685,0.79134,0.58574,0.91229,0.67864,0.79313,0.54865,0.99017,2.05517,1.00468,1.09978,0.000557,0.000557,0.000557
114,365.134,0.54183,0.86985,0.3673,0.84993,0.68107,0.76369,0.72321,0.56209,0.91354,0.70515,0.79609,0.52787,1.00711,2.22536,0.94778,1.10851,0.000550813,0.000550813,0.000550813
115,368.267,0.53545,0.82001,0.35786,0.841,0.68136,0.82544,0.72898,0.55158,0.68136,0.82544,0.73185,0.50512,1.01159,2.32485,0.9164,1.09678,0.000544625,0.000544625,0.000544625
116,371.352,0.55684,0.87848,0.37272,0.86072,0.69144,0.81033,0.75842,0.57616,0.69393,0.81189,0.76094,0.4953,1.0266,2.41473,0.91237,1.10013,0.000538438,0.000538438,0.000538438
117,374.366,0.54743,0.87492,0.37403,0.85507,0.69166,0.82223,0.74078,0.55899,0.69325,0.82409,0.74114,0.50745,1.04905,2.42751,0.88519,1.12423,0.00053225,0.00053225,0.00053225
118,377.444,0.51437,0.8089,0.34566,0.84397,0.71951,0.79187,0.74411,0.56696,0.71674,0.78817,0.73992,0.53284,1.02392,2.38729,0.89001,1.10569,0.000526063,0.000526063,0.000526063
119,380.561,0.51949,0.8096,0.35884,0.84583,0.79121,0.77053,0.76786,0.57841,0.7459,0.71879,0.73237,0.52068,0.98826,2.26554,0.88673,1.10566,0.000519875,0.000519875,0.000519875
120,383.675,0.52567,0.81804,0.35161,0.85093,0.77562,0.69332,0.72034,0.5525,0.77562,0.69332,0.7204,0.50936,0.99151,2.1489,0.84999,1.10554,0.000513688,0.000513688,0.000513688
121,386.699,0.52196,0.81628,0.34639,0.84292,0.74898,0.70108,0.73331,0.55091,0.74754,0.69887,0.73168,0.50464,1.01751,2.29542,0.84755,1.1028,0.0005075,0.0005075,0.0005075
122,389.726,0.53633,0.85392,0.35466,0.84769,0.65418,0.82174,0.7257,0.5552,0.65269,0.81989,0.72373,0.50064,0.99662,2.25499,0.85765,1.10158,0.000501313,0.000501313,0.000501313
123,392.782,0.52205,0.81319,0.33883,0.83694,0.72988,0.74998,0.73963,0.57517,0.72807,0.74813,0.73425,0.50916,1.03328,2.42333,0.88355,1.12617,0.000495125,0.000495125,0.000495125
124,395.943,0.53731,0.82841,0.34373,0.84209,0.7415,0.75684,0.73838,0.57037,0.74323,0.75869,0.73849,0.5269,1.01603,2.41555,0.83232,1.12718,0.000488938,0.000488938,0.000488938
125,399.021,0.52831,0.83495,0.34906,0.84149,0.72085,0.76184,0.73622,0.57596,0.72618,0.76739,0.73004,0.52686,0.95906,2.2122,0.80945,1.09979,0.00048275,0.00048275,0.00048275
126,402.052,0.51842,0.81048,0.34169,0.84427,0.75639,0.79726,0.75967,0.57969,0.75998,0.80097,0.7613,0.50727,0.97926,2.30119,0.81719,1.08897,0.000476562,0.000476562,0.000476562
127,405.075,0.50461,0.8052,0.33773,0.83874,0.77207,0.81741,0.81522,0.61409,0.77207,0.81741,0.81372,0.55076,1.00433,2.20888,0.83813,1.1093,0.000470375,0.000470375,0.000470375
128,408.327,0.5127,0.79534,0.33752,0.83818,0.79006,0.7539,0.79077,0.60453,0.85002,0.80948,0.8108,0.52011,0.98649,2.17808,0.8065,1.10635,0.000464188,0.000464188,0.000464188
129,411.419,0.51501,0.81768,0.3404,0.84394,0.71709,0.83639,0.76075,0.57669,0.84069,0.7963,0.8276,0.52017,1.012,2.28536,0.83655,1.11799,0.000458,0.000458,0.000458
130,414.459,0.4953,0.7571,0.32978,0.8354,0.82099,0.81184,0.8112,0.58748,0.82445,0.81554,0.81317,0.52067,0.99236,2.20482,0.84017,1.101,0.000451813,0.000451813,0.000451813
131,417.46,0.49733,0.77844,0.32481,0.83423,0.82202,0.81879,0.82331,0.60003,0.82202,0.81879,0.82378,0.52933,1.03367,2.26897,0.84461,1.10973,0.000445625,0.000445625,0.000445625
132,420.502,0.47933,0.77459,0.32728,0.83599,0.82161,0.82686,0.8227,0.60137,0.82161,0.82686,0.8228,0.52173,1.03668,2.28579,0.8595,1.1154,0.000439437,0.000439437,0.000439437
133,423.606,0.49728,0.79367,0.32526,0.83577,0.76639,0.8113,0.76074,0.58092,0.76809,0.81315,0.78772,0.52254,1.02932,2.26447,0.83764,1.12413,0.00043325,0.00043325,0.00043325
134,426.675,0.49418,0.8019,0.33187,0.83829,0.75887,0.81739,0.79495,0.59212,0.76081,0.81924,0.79771,0.53053,1.02051,2.22575,0.85783,1.11961,0.000427062,0.000427062,0.000427062
135,429.755,0.47688,0.76968,0.32665,0.82977,0.71603,0.82975,0.81293,0.60202,0.71917,0.8321,0.81609,0.54226,0.99185,2.21748,0.85485,1.1136,0.000420875,0.000420875,0.000420875
136,432.839,0.47816,0.78838,0.31715,0.8316,0.88083,0.77981,0.83072,0.59496,0.88271,0.78166,0.83279,0.53452,1.00651,2.24858,0.85555,1.11273,0.000414688,0.000414688,0.000414688
137,435.86,0.49616,0.78924,0.318,0.83222,0.88779,0.76272,0.82738,0.59363,0.88779,0.76272,0.82688,0.54274,0.96687,2.19617,0.87744,1.10337,0.0004085,0.0004085,0.0004085
138,438.9,0.50865,0.81588,0.33526,0.83873,0.85047,0.76626,0.81217,0.57184,0.85047,0.76626,0.81069,0.5471,1.01206,2.34217,0.87253,1.1232,0.000402312,0.000402312,0.000402312
139,442.141,0.5241,0.81882,0.34285,0.83893,0.83546,0.76263,0.80759,0.58233,0.83367,0.76078,0.80648,0.54814,1.01508,2.29034,0.88829,1.12367,0.000396125,0.000396125,0.000396125
140,445.235,0.49958,0.79624,0.33354,0.84145,0.80596,0.79171,0.77726,0.57822,0.83099,0.78986,0.82991,0.54127,1.00563,2.21965,0.85914,1.11553,0.000389938,0.000389938,0.000389938
141,448.263,0.48812,0.76579,0.32508,0.82945,0.74878,0.82479,0.7573,0.57399,0.84299,0.80167,0.82168,0.53271,1.03024,2.19452,0.86125,1.12144,0.00038375,0.00038375,0.00038375
142,451.34,0.48142,0.75845,0.32039,0.8329,0.81032,0.75443,0.76744,0.56661,0.88765,0.80443,0.83457,0.53507,0.98248,2.08673,0.85036,1.09188,0.000377563,0.000377563,0.000377563
143,454.352,0.46257,0.7328,0.30751,0.82336,0.74268,0.79227,0.77188,0.56582,0.74268,0.79227,0.77154,0.5158,1.02607,2.10978,0.88051,1.11172,0.000371375,0.000371375,0.000371375
144,457.538,0.48723,0.77642,0.32634,0.84323,0.80801,0.77363,0.78205,0.58247,0.80801,0.77363,0.78266,0.53277,0.99041,2.1225,0.8964,1.10263,0.000365188,0.000365188,0.000365188
145,460.637,0.45956,0.72974,0.30455,0.82435,0.77931,0.75985,0.74629,0.55964,0.78121,0.7617,0.74902,0.51236,0.99189,2.23901,0.94689,1.08265,0.000359,0.000359,0.000359
146,463.731,0.4862,0.78115,0.31633,0.83603,0.80801,0.76254,0.76619,0.57599,0.80998,0.76439,0.76874,0.5126,0.9576,2.14768,0.95897,1.08121,0.000352812,0.000352812,0.000352812
147,466.789,0.46877,0.73978,0.30529,0.82331,0.78665,0.77676,0.76641,0.56586,0.78869,0.77861,0.76862,0.51038,1.01143,2.17784,0.95103,1.08362,0.000346625,0.000346625,0.000346625
148,469.905,0.46137,0.71755,0.30502,0.81592,0.71125,0.79135,0.78083,0.58071,0.71331,0.7932,0.7818,0.54955,0.96305,2.05332,0.93291,1.06841,0.000340438,0.000340438,0.000340438
149,473.027,0.4498,0.72198,0.30252,0.82633,0.91113,0.72665,0.81107,0.58398,0.91113,0.72665,0.81202,0.55601,1.00511,2.1074,0.91583,1.0871,0.00033425,0.00033425,0.00033425
150,476.094,0.44567,0.709,0.3005,0.82777,0.94017,0.77996,0.83379,0.59776,0.94253,0.78181,0.83594,0.52534,0.98939,2.14992,0.88705,1.08097,0.000328063,0.000328063,0.000328063
151,479.121,0.45025,0.71879,0.30132,0.82192,0.88276,0.76911,0.83594,0.60588,0.88493,0.77096,0.83727,0.53518,0.96728,2.13576,0.85507,1.07562,0.000321875,0.000321875,0.000321875
152,482.201,0.4436,0.71669,0.29345,0.82447,0.81741,0.75407,0.79494,0.5968,0.81741,0.75407,0.79408,0.55915,1.00011,2.14517,0.86326,1.08881,0.000315687,0.000315687,0.000315687
153,485.247,0.44406,0.71602,0.29676,0.82396,0.90076,0.79271,0.83845,0.61003,0.90076,0.79271,0.8374,0.56007,0.97326,2.16164,0.86059,1.07963,0.0003095,0.0003095,0.0003095
154,488.61,0.46724,0.73409,0.30457,0.82881,0.75276,0.75663,0.74775,0.57503,0.75276,0.75663,0.74844,0.53539,0.99239,2.17086,0.84742,1.08667,0.000303313,0.000303313,0.000303313
155,491.686,0.44856,0.71642,0.29324,0.82211,0.75951,0.80212,0.77462,0.584,0.76143,0.80398,0.77576,0.54771,0.97484,2.10017,0.8461,1.08934,0.000297125,0.000297125,0.000297125
156,494.803,0.43513,0.69939,0.28948,0.82576,0.76175,0.813,0.80003,0.59109,0.76175,0.813,0.80073,0.54521,0.99764,2.20441,0.80677,1.10032,0.000290937,0.000290937,0.000290937
157,497.816,0.44609,0.70887,0.29583,0.81436,0.7634,0.81919,0.78043,0.59635,0.83147,0.81321,0.81423,0.54167,0.99372,2.1979,0.80564,1.10267,0.00028475,0.00028475,0.00028475
158,501.183,0.47349,0.76138,0.31641,0.83301,0.76414,0.82216,0.78222,0.58787,0.81454,0.82571,0.81556,0.53443,0.99555,2.22174,0.82698,1.11154,0.000278562,0.000278562,0.000278562
159,504.344,0.4414,0.71861,0.29733,0.83399,0.76769,0.82279,0.78051,0.57091,0.76782,0.82193,0.78083,0.52391,1.01142,2.20581,0.83307,1.11892,0.000272375,0.000272375,0.000272375
160,507.418,0.43468,0.73006,0.29253,0.82113,0.7849,0.80321,0.78013,0.58302,0.78617,0.80304,0.77968,0.54394,1.00609,2.15022,0.83577,1.10743,0.000266187,0.000266187,0.000266187
161,510.509,0.46637,0.73263,0.31021,0.82364,0.90485,0.7363,0.81516,0.58518,0.74057,0.81827,0.7607,0.5344,0.98202,2.10781,0.85931,1.09967,0.00026,0.00026,0.00026
162,513.576,0.43686,0.71281,0.29237,0.82637,0.80706,0.79922,0.82478,0.60791,0.80706,0.79922,0.82428,0.55181,1.00681,2.15124,0.86686,1.11616,0.000253812,0.000253812,0.000253812
163,516.616,0.42346,0.68572,0.28266,0.81584,0.77832,0.80559,0.78508,0.5845,0.78028,0.80744,0.78541,0.55087,0.99347,2.15307,0.86083,1.10362,0.000247625,0.000247625,0.000247625
164,519.63,0.43725,0.69639,0.28691,0.82252,0.76309,0.81347,0.79854,0.5917,0.76309,0.81347,0.79872,0.55944,0.99772,2.12171,0.86356,1.10965,0.000241438,0.000241438,0.000241438
165,522.629,0.41572,0.70187,0.28511,0.82066,0.76861,0.80131,0.77621,0.57203,0.76861,0.80131,0.77458,0.54251,0.99573,2.1501,0.87409,1.10925,0.00023525,0.00023525,0.00023525
166,525.635,0.42118,0.72194,0.29164,0.81783,0.81685,0.79941,0.77408,0.57037,0.81499,0.79756,0.77287,0.53786,0.9962,2.17699,0.87265,1.11119,0.000229063,0.000229063,0.000229063
167,528.665,0.41161,0.65633,0.27019,0.81876,0.81727,0.80915,0.7769,0.57748,0.81543,0.8073,0.77597,0.54331,1.01045,2.18956,0.86342,1.11245,0.000222875,0.000222875,0.000222875
168,531.799,0.42776,0.69149,0.28703,0.8189,0.80645,0.82146,0.78978,0.60005,0.80463,0.81961,0.78867,0.54852,0.97716,2.25662,0.86296,1.09492,0.000216688,0.000216688,0.000216688
169,534.879,0.42257,0.68777,0.27818,0.81953,0.82147,0.80567,0.84654,0.62694,0.81951,0.80382,0.84552,0.54974,0.96918,2.27978,0.85578,1.07643,0.0002105,0.0002105,0.0002105
170,538.112,0.43273,0.6794,0.28406,0.81686,0.85142,0.80536,0.84858,0.62492,0.84942,0.80351,0.84741,0.56533,0.97075,2.21675,0.85528,1.07591,0.000204313,0.000204313,0.000204313
171,541.39,0.40231,0.65611,0.27069,0.80873,0.82366,0.79681,0.80985,0.60038,0.82104,0.79542,0.82103,0.55889,0.98897,2.25142,0.846,1.08565,0.000198125,0.000198125,0.000198125
172,544.476,0.41893,0.70171,0.282,0.81261,0.75862,0.82282,0.82371,0.60428,0.75862,0.82282,0.82179,0.56173,0.99443,2.20306,0.84106,1.08468,0.000191938,0.000191938,0.000191938
173,547.587,0.42537,0.70926,0.28603,0.81973,0.81161,0.76915,0.82302,0.61798,0.8085,0.76978,0.82204,0.56664,0.98741,2.24899,0.84348,1.08382,0.00018575,0.00018575,0.00018575
174,550.678,0.40318,0.67468,0.27631,0.81279,0.82,0.77158,0.82178,0.61934,0.82,0.77158,0.82184,0.57076,0.96452,2.20717,0.84521,1.08424,0.000179563,0.000179563,0.000179563
175,553.708,0.41059,0.66308,0.27722,0.81362,0.81036,0.77202,0.80937,0.62657,0.81036,0.77202,0.80807,0.55772,0.98995,2.27694,0.83643,1.09461,0.000173375,0.000173375,0.000173375
176,556.777,0.39214,0.65253,0.27002,0.8138,0.77362,0.79395,0.81978,0.62491,0.77171,0.7921,0.81832,0.57114,0.97544,2.28898,0.82259,1.09102,0.000167188,0.000167188,0.000167188
177,559.829,0.40232,0.68082,0.27206,0.81218,0.77128,0.79813,0.80501,0.6085,0.7694,0.79628,0.80362,0.56206,0.9818,2.35867,0.82809,1.09189,0.000161,0.000161,0.000161
178,562.962,0.38507,0.64715,0.26053,0.81688,0.84394,0.77754,0.81671,0.61088,0.84194,0.77569,0.81509,0.56278,0.97102,2.34686,0.82022,1.0915,0.000154812,0.000154812,0.000154812
179,566.135,0.4073,0.67254,0.27327,0.82644,0.85179,0.77274,0.80063,0.60033,0.85179,0.77274,0.80177,0.55226,0.9916,2.35437,0.83309,1.10267,0.000148625,0.000148625,0.000148625
180,569.257,0.3909,0.66119,0.26171,0.8184,0.81518,0.77343,0.78476,0.58168,0.81495,0.77453,0.78649,0.5458,1.00556,2.38866,0.85538,1.10764,0.000142437,0.000142437,0.000142437
181,572.287,0.39596,0.65778,0.26526,0.81624,0.81665,0.77528,0.7842,0.57941,0.81872,0.77713,0.78596,0.5356,0.99682,2.3398,0.83663,1.11212,0.00013625,0.00013625,0.00013625
182,575.301,0.39355,0.68988,0.27077,0.81396,0.81268,0.77541,0.78022,0.59027,0.81472,0.77726,0.78056,0.54247,0.99959,2.35787,0.84076,1.11231,0.000130062,0.000130062,0.000130062
183,578.396,0.39143,0.65072,0.26604,0.81528,0.80893,0.78107,0.79764,0.60121,0.81284,0.78477,0.7997,0.55544,0.98373,2.33982,0.84307,1.10579,0.000123875,0.000123875,0.000123875
184,581.512,0.38044,0.628,0.25675,0.80942,0.80854,0.78824,0.8011,0.60289,0.80665,0.78639,0.80008,0.55503,0.97851,2.29169,0.82918,1.10567,0.000117687,0.000117687,0.000117687
185,584.511,0.37738,0.63164,0.25793,0.81238,0.81856,0.78639,0.80341,0.6103,0.81656,0.78454,0.80149,0.55674,0.97738,2.26583,0.82108,1.10221,0.0001115,0.0001115,0.0001115
186,587.543,0.39183,0.6619,0.26426,0.82019,0.81224,0.78824,0.82114,0.61568,0.81224,0.78824,0.8196,0.5582,0.97251,2.26941,0.8223,1.09863,0.000105312,0.000105312,0.000105312
187,590.659,0.37703,0.63922,0.25714,0.8128,0.81342,0.79207,0.80487,0.61143,0.81153,0.79022,0.80313,0.55042,0.97655,2.30342,0.82866,1.09877,9.9125e-05,9.9125e-05,9.9125e-05
188,593.749,0.38137,0.62717,0.25811,0.81309,0.79985,0.79565,0.80028,0.59883,0.79985,0.79565,0.79995,0.53648,0.98809,2.35478,0.86354,1.10295,9.29375e-05,9.29375e-05,9.29375e-05
189,596.765,0.38846,0.66626,0.26786,0.80823,0.78462,0.79936,0.80205,0.60422,0.78294,0.7975,0.80015,0.53805,0.99531,2.35938,0.87136,1.10588,8.675e-05,8.675e-05,8.675e-05
190,599.782,0.3799,0.63288,0.25481,0.80888,0.77289,0.79949,0.8003,0.60107,0.77301,0.79943,0.7999,0.53967,1.00158,2.36642,0.8752,1.11115,8.05625e-05,8.05625e-05,8.05625e-05
191,605.439,0.46267,0.80417,0.33819,0.83133,0.77335,0.80121,0.78137,0.59078,0.77395,0.80121,0.77928,0.53815,0.96706,2.31504,0.87049,1.098,7.4375e-05,7.4375e-05,7.4375e-05
192,608.788,0.39538,0.68993,0.2685,0.81118,0.77584,0.7938,0.7801,0.59451,0.77584,0.7938,0.77836,0.54938,0.93856,2.26127,0.83528,1.10075,6.81875e-05,6.81875e-05,6.81875e-05
193,611.835,0.40898,0.70287,0.27019,0.80967,0.7802,0.78824,0.77633,0.5904,0.7802,0.78824,0.77451,0.55355,0.94458,2.24725,0.83446,1.10588,6.2e-05,6.2e-05,6.2e-05
194,614.829,0.39091,0.68074,0.26112,0.80879,0.80845,0.79111,0.77585,0.59242,0.80845,0.79111,0.7748,0.55548,0.9355,2.20974,0.85855,1.09717,5.58125e-05,5.58125e-05,5.58125e-05
195,617.847,0.40039,0.71194,0.27731,0.80766,0.80889,0.78936,0.77415,0.58903,0.80889,0.78936,0.77293,0.55669,0.92912,2.20615,0.86952,1.08921,4.9625e-05,4.9625e-05,4.9625e-05
196,620.858,0.36366,0.6296,0.24434,0.80225,0.7887,0.78106,0.7817,0.60056,0.79037,0.78415,0.78049,0.56359,0.93064,2.20621,0.85159,1.09091,4.34375e-05,4.34375e-05,4.34375e-05
197,623.944,0.36869,0.66961,0.24798,0.79849,0.79233,0.79276,0.78253,0.60252,0.79102,0.79387,0.78119,0.56421,0.93178,2.19565,0.8485,1.09356,3.725e-05,3.725e-05,3.725e-05
198,627.053,0.37234,0.64676,0.25741,0.80608,0.7891,0.78919,0.7827,0.59969,0.78757,0.78859,0.78081,0.56284,0.93486,2.19384,0.85356,1.09468,3.10625e-05,3.10625e-05,3.10625e-05
199,630.088,0.35191,0.63261,0.23692,0.802,0.79152,0.78889,0.78326,0.59702,0.78953,0.78743,0.7813,0.56264,0.93495,2.19989,0.86341,1.09418,2.4875e-05,2.4875e-05,2.4875e-05
200,633.135,0.34397,0.60597,0.23265,0.79964,0.80502,0.80471,0.78462,0.5903,0.80319,0.80285,0.78285,0.55439,0.93414,2.20809,0.86503,1.09076,1.86875e-05,1.86875e-05,1.86875e-05
